athlete_cn,year,event,category,result,partner_or_team,final_opponent,score,notes,source_url
王楚钦,2024,巴黎奥运会,混合双打,金牌,孙颖莎,,,中国组合夺得混双金牌,"https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_doubles"
王楚钦,2024,巴黎奥运会,男子团体,金牌,"樊振东、马龙、王楚钦",,,中国男团冠军,"https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics"
王楚钦,2025,世乒赛多哈站,男单,冠军,,Hugo Calderano,4-1,首个世乒赛男单冠军,"https://en.wikipedia.org/wiki/Wang_Chuqin"
王楚钦,2025,世乒赛多哈站,混合双打,冠军,孙颖莎,,,混双世界冠军,"https://tabletennis.media/players/wang-chuqin/"
王楚钦,2026,ITTF 亚洲杯,男单,冠军,,张本智和,4-2,公开资料列为 2026 单打冠军,"https://en.wikipedia.org/wiki/Wang_Chuqin"
王楚钦,2026,WTT 新加坡大满贯,男单,冠军,,林昀儒,4-0,2026 新加坡大满贯男单冠军,"https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E6%96%B0%E5%8A%A0%E5%9D%A1%E5%A4%A7%E6%BB%A1%E8%B4%AF"
王楚钦,2026,ITTF 世界杯澳门站,男单,冠军,,Sora Matsushima,4-3,2026 世界杯男单冠军,"https://en.wikipedia.org/wiki/Wang_Chuqin"
王楚钦,2026,世界乒乓球团体锦标赛伦敦站,男子团体,金牌,"王楚钦、林诗栋、向鹏、周启豪、梁靖崑",,,中国男团冠军,"https://en.wikipedia.org/wiki/2026_World_Team_Table_Tennis_Championships"
孙颖莎,2024,巴黎奥运会,混合双打,金牌,王楚钦,,,中国组合夺得混双金牌,"https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_doubles"
孙颖莎,2024,巴黎奥运会,女子团体,金牌,"孙颖莎、王曼昱、陈梦",,,中国女团冠军,"https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics"
孙颖莎,2024,巴黎奥运会,女子单打,银牌,,陈梦,,女单亚军,"https://en.wikipedia.org/wiki/Sun_Yingsha"
孙颖莎,2025,世乒赛多哈站,女单,冠军,,王曼昱,4-3,世乒赛女单冠军,"https://en.wikipedia.org/wiki/Sun_Yingsha"
孙颖莎,2025,世乒赛多哈站,混合双打,冠军,王楚钦,,,混双世界冠军,"https://en.wikipedia.org/wiki/Sun_Yingsha"
孙颖莎,2026,ITTF 亚洲杯,女单,冠军,,王曼昱,4-3,公开资料列为 2026 单打冠军,"https://en.wikipedia.org/wiki/Sun_Yingsha"
孙颖莎,2026,WTT 新加坡大满贯,女单,冠军,,王曼昱,4-2,2026 新加坡大满贯女单冠军,"https://zh.wikipedia.org/wiki/2026%E5%B9%B4WTT%E6%96%B0%E5%8A%A0%E5%9D%A1%E5%A4%A7%E6%BB%A1%E8%B4%AF"
孙颖莎,2026,ITTF 世界杯澳门站,女单,冠军,,王曼昱,4-1,2026 世界杯女单冠军,"https://en.wikipedia.org/wiki/Sun_Yingsha"
孙颖莎,2026,世界乒乓球团体锦标赛伦敦站,女子团体,金牌,"孙颖莎、王曼昱、陈幸同、蒯曼、王艺迪",,,中国女团冠军,"https://en.wikipedia.org/wiki/2026_World_Team_Table_Tennis_Championships"
